suburb,address,sale_price,sale_date,property_type,bedrooms,bathrooms,car_spaces,land_size_sqm,building_size_sqm,station_min,description,listing_url
Cronulla,2/12-14 Wilshire Avenue,3250000,12/11/2025,Townhouse,3,3,2.0,,,2,"A distinguished celebration of heritage design, this exceptional residence within the award-winning development 'The Abbey' showcases masterful craftsmanship and timeless appeal. Blending traditional grandeur with modern luxury, every detail has been thoughtfully curated to create a home of lasting beauty, comfort, and refinement. Offering an effortless connection between indoor and outdoor living, it enjoys a prized position between the beach and bay.",https://www.realestate.com.au/sold/property-townhouse-nsw-cronulla-149257412
Cronulla,5/77 Kurnell Road,1290000,06/11/2025,Townhouse,2,1,1.0,,,2,"Tucked peacefully at the rear of a boutique complex of just five, this contemporary two-bedroom townhouse offers the perfect blend of comfort, space and coastal convenience. Spread over two generous levels with high ceilings and refreshed interiors, it features a practical free-flowing layout designed for relaxed everyday living.",https://www.realestate.com.au/sold/property-townhouse-nsw-cronulla-149391704
Cronulla,50a Elouera Road,3625000,31/10/2025,Duplex/semi-detached,5,3,2.0,324.9,,3,"Azurea sets a new benchmark in luxury beachside living. This architectural masterpiece spans over 256sqm of internal space, offering elegance and comfort with a striking façade, bespoke interiors, seamless indoor-outdoor flow, golf course views, and a private pool-all just 400m from Cronulla's beaches.",https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-cronulla-149122812
Cronulla,39 Darook Park Road,8750000,24/10/2025,House,3,3,2.0,,,3,"Positioned in one of Cronulla's most tightly held waterfront settings, this exceptional residence delivers a rare opportunity in a blue-ribbon location. Originally built in 1953 and completely reimagined in 2006, the home blends timeless solidity with contemporary elegance. An easy floorplan creates seamless flow between the garage entry, kitchen, dining and living areas, while a serene master on the same level offers the ease of near single-level living. Additional accommodation downstairs includes two further bedrooms and a full bathroom, perfect for family or guests.",https://www.realestate.com.au/sold/property-house-nsw-cronulla-149278316
Cronulla,1-8/44 Hume Road,4630000,23/10/2025,Block of units,14,8,4.0,580.0,,2,"Set on a prized corner block approx. 580sqm directly opposite Cronulla Golf Club, this is a rare opportunity to acquire an entire block of 8 comprising of 4 x 1br & 4 x 2br apartments. All apartments have been updated throughout with internal laundries and 4 car spaces. With LMR development uplift and just 490m to Elouera beach, shops, cafés and Woolooware train station. Currently returning $208,520pa with scope to increase.",https://www.realestate.com.au/sold/property-unitblock-nsw-cronulla-149158024
Cronulla,20 Dodson Avenue,3450000,22/10/2025,House,4,3,2.0,689.0,,2,"Nestled in one of Cronulla's most exclusive cul-de-sacs, this luxurious coastal residence offers refined living just moments from the beach and town centre. The home features multiple living areas, a gourmet marble kitchen with high-end appliances, and a seamless flow to an alfresco entertaining space and private in-ground pool. Upstairs, the master retreat boasts a media lounge, home office, walk-in robe, and balcony with water views. With four bedrooms, heated-floor bathrooms, secure gated entry, and a double garage, this turnkey home is perfect for modern family living.",https://www.realestate.com.au/sold/property-house-nsw-cronulla-148919732
Cronulla,26 Sturt Road,2330000,11/10/2025,House,3,1,1.0,590.0,,2,"Positioned in one of Cronulla's most convenient and sought-after pockets, this sun-drenched home presents a rare opportunity to secure a prime piece of real estate in a tightly held location. Set on a generous block and flooded with natural light, the property offers exciting potential to renovate or knock down and rebuild your dream home (STCA), making it ideal for families, builders, or savvy investors looking to capitalise on this premium coastal setting.",https://www.realestate.com.au/sold/property-house-nsw-cronulla-149050804
Cronulla,1/103 Ewos Parade,2820000,10/10/2025,Villa,3,2,3.0,421.0,,2,"Strategically positioned in peaceful South Cronulla within the luxury Nun's Pool building, this ground floor villa offers unique house-sized living directly opposite Shelly Park, perfect for downsizers and families seeking space.",https://www.realestate.com.au/sold/property-villa-nsw-cronulla-149008824
Cronulla,7/18-22 Kurnell Road,1850000,01/10/2025,Townhouse,3,2,2.0,,195.0,2,"This stylish and modern three-bedroom townhouse offers the perfect blend of comfort and convenience, with only one common wall to maximise privacy and natural sunlight. Thoughtfully designed, the spacious floorplan flows seamlessly into a sun-drenched entertainer's backyard - ideal for relaxed living and alfresco dining. Perfectly positioned just moments from Cronulla's iconic surf beaches, vibrant cafes, and the local golf course, this is an exceptional opportunity to secure a low-maintenance lifestyle in a sought-after coastal setting.",https://www.realestate.com.au/sold/property-townhouse-nsw-cronulla-149015892
Cronulla,2/3 Pozieres Street,1860000,24/09/2025,Townhouse,3,2,4.0,,227.0,3,"Nestled in one of North Cronulla's most sought-after cul-de-sac streets, this freestanding three-bedroom home delivers the perfect fusion of timeless design and relaxed coastal living. With light-filled interiors that flow effortlessly to a northeast-facing entertainer's courtyard, the home invites indoor-outdoor living at its best. Surrounded by lush established gardens and thoughtfully crafted for modern lifestyles, it offers generous living spaces that balance comfort and functionality in an idyllic beachside setting.",https://www.realestate.com.au/sold/property-townhouse-nsw-cronulla-148575304
